SÕNA,NÄIDE,SARNASED,TASE
ebakindel,Ebakindel poliitiline olukord,"ebakindlus, kindel, veekindel, tulekindel, enesekindel",B1
ebameeldivus,Tööl ootasid teda ebameeldivused,"meeldiv, eeldus, ebamugavus, erimeelsus, heategevus",B2
ebamäärane,Ta eluplaanid on esialgu ebamäärased,"umbmäärane, ülemäärane, säärane, samaväärne, emane",B2
ebaoluline,Üldarengu seisukohast on see täiesti ebaoluline,"eluline, oluline, vastuoluline, ülekaaluline, selline",B1
ebapiisav,Ettevalmistus osutus ebapiisavaks,"piisav, ebaviisakas, piisavalt, piisama, ebasobiv",B1
ebavõrdne,Usalduse kasvu takistab ka varasema keskklassi kadumine ja ebavõrdne tulujaotus,"võrdne, ebavõrdsus, sedavõrd, ebaõnn, erakordne",B2
edasi,"Nihutas end pingil veidi edasi, et sõbrannale istumisruumi teha","sedasi, edasine, edaspidi, endamisi, edukas",A1
edasine,Vallandatu edasisest käekäigust ei teadnud keegi midagi,"edaspidine, endine, kesine, sedasi, eine",B2
edaspidi,Nüüd ja edaspidi püüame seda viga parandada,"edaspidine, sedasi, teistpidi, vastupidi, elamispind",B1
edestama,Finaaljooksus edestas ta oma peamist konkurenti kahe sekundiga,"edvistama, eelistama, kadestama, edutama, esitama",B2
edetabel,Ta on maakonna edetabelis esimene,"tabel, pjedestaal, eestlane, eeterlik, eemal",B2
edevus,Meeste tähelepanu kõditas ta naiselikku edevust,"elevus, pädevus, teadvus, tegevus, erinevus",C1
edukalt,Uus ettevõtmine lõppes edukalt,"edukamalt, edukas, mõõdukalt, ilmekalt, innukalt",B1
edusamm,Esimene edusamm õhutab järgmistele,"samm, edutama, seadustama, eksam, elustama",B2
eel,"Õhtu, hommiku, päikesetõusu, loojangu eel","keel, meel, teel, veel, eelis",B1
eeldama,See töö eeldab eriettevalmistusega inimest,"eemaldama, keelama, neelama, elama, heegeldama",B1
eelistama,Silvi eelistab Peetrit Antsule,"helistama, meelitama, keelustama, meelestama, elustama",B1
eelistus,Igal ühel on omad huvid ja eelistused,"teenistus, eestlus, eitus, ettevalmistus, linastus",A2
eelkõige,"Eelkõige kinnitame keha, siis vaatame, mis edasi saab","kõige, ennekõike, pereliige, eelmine, kõigest",B1
eelkäija,Metsarajal kaotasime eelkäijad silmist,"jalakäija, kaelkirjak, seeläbi, teenija, tellija",B2
eelmine,Eelmine osakonnajuhataja oli saamatu mees,"üleeelmine, eetiline, pealmine, seesmine, üle-eelmine",A1
eelnema,Põhjus eelneb tagajärjele,"elavnema, keerlema, rebenema, tegelema, vedelema",B1
eelnevalt,Temaga on eelnevalt nõu peetud ja praeguseks on tulemused juba teada,"veenvalt, erinevalt, meelevald, olenevalt, elevant",B2
eelolev,Eeloleval nädalal toimub mitu huvitavat kontserti,"eelpool, veetlev, üleolev, käesolev, meeleolu",B2
eelroog,Eelroaks pakuti marineeritud angerjat,"selgroog, geoloog, veerg, pilliroog, teoloogia",B1
eelviimane,Kuu eelviimasel päeval tabas linna kuumalaine,"viimane, liiane, viimne, vihmane, eestimaine",B1
eemal,Auto peatus tükk maad eemal,"eemale, eemalt, keema, teema, ema",A2
eemalduma,Teos on eemaldunud reaalsusest,"eralduma, keelduma, kalduma, peegelduma, eraldama",B2
ees,Üks jooksja oli teistest tublisti ees,"eest, mees, sees, tees, eesel",A1
eeskuju,"Kellegi eeskuju järgima, kellegi eeskujule järgnema","eeskujulik, tegelaskuju, kuju, ettekujutus, meessugu",B1
eeskätt,Töökohale kandideerides on oluline eeskätt inglise keele oskus,"eest, eesti, efekt, kätte, seest",B1
eesmärk,Eesmärk pühitseb abinõu,"märk, särk, küsimärk, teenetemärk, mälestusmärk",A2
eest,"Üks tõmbas eest, teine lükkas tagant","eesti, seest, kest, mees, peet",A1
eestikeelne,Ta on saanud eestikeelse hariduse,"venekeelne, eestlane, eetiline, esteetiline, eestimaalane",A2
eetiline,"Meie eetilised põhimõtted, tõekspidamised","poeetiline, etniline, esteetiline, geneetiline, keemiline",B2
efekt,Tema jutt ei tekitanud erilist efekti,"efektne, prefekt, perfektne, efektiivne, elekter",B1
ega,Ega ta seda siis meelega teinud,"ergas, seega, ego, eluiga, ema",A2
ehe,Ilus muru on aia ehteks,"ehtne, pehme, ehk, ere, ese",B1
ehitama,Kolhoosile ehitati uus sigala ja kanala,"kehitama, eitama, lehvitama, eritama, esitama",A1
ehitis,Kaarja katusega ehitis,"ehitus, hiis, hüvitis, leiutis, eitus",B1
ehitus,Tugeva ehitusega sild,"eitus, esitus, ehmatus, eksitus, esitlus",A2
ehk,Ehk ta teeb selle põranda ükskord korda,"ehkki, eks, erk, õhk, mehelik",A2
ehmatama,Ta ehmatas mind ootamatult pimedusest välja ilmumisega,"kehastama, elatama, hautama, matkama, peatama",B1
ei,"Ei mäletagi, millal me viimati teatris käisime","eit, eri, gei, eile, eine",A1
eile,Eile puhkasin ja täna juba töötan,"eilne, esile, eine, hele, ilge",A1
eilne,Lõunaks soojenda eilset suppi,"eine, eriline, esile, ilmne, teine",B1
eine,Niitjad istusid puu varju ja asusid einele,"teine, endine, erinev, kesine, mehine",B2
eirama,Seda seika ei saa kuidagi eirata,"eitama, eramaa, eramaja, eritama, erutama",C1
eitama,Kohtualune eitas oma süüd,"eritama, esitama, eksitama, eristama, kehitama",B1
eitus,Raputas eituse märgiks pead,"esitus, eksitus, esitlus, heitlus, lepitus",B2
ekraan,Suure ekraaniga televiisor,"kraan, kraana, erand, kraad, kraam",A2
eks,"Eks ma siis tulen, kui kutsutakse","seks, eksam, heaks, tekst, eksiil",A2
eksam,Mul pole aega - homme on eksam psühholoogias,"eksitama, eksima, kisama, peksma, teksad",A2
eksemplar,Leping koostati kolmes eksemplaris,"ekslema, eksima, peksma, pesema, ekspert",B2
eksima,Võõras linnas võid kergesti eksida,"seksima, eksitama, küsima, lesima, peksma",B1
eksistentsiaalne,Pildist õhkub eksistentsiaalset üksindust ja tühjust,"potentsiaalne, eksperimentaalne, konfidentsiaalne, sotsiaalne, esteetiline",C1
eksklusiivne,Eksklusiivne klubi,"üksluine, ekskursioon, massiivne, passiivne, tekkimine",B2
ekskursioon,Korraldati ekskursioon Tallinna vanalinnaga tutvumiseks,"sessioon, versioon, kurioosne, sektsioon, resolutsioon",A2
ekslema,Ta silmad ekslesid rahutult siia-sinna,"esitlema, seiklema, vehklema, vestlema, peksma",B2
ekspeditsioon,Kas arheoloogid on juba ekspeditsioonilt tagasi,"ekspositsioon, sektsioon, inspektsioon, meditatsioon, positsioon",B2
eksperiment,Ravimi kasutuselevõtmisele eelnevad eksperimendid loomadega,"eksperimentaalne, eksperimenteerima, ekspert, temperament, sortiment",B2
eksport,Osa toodangust läheb ekspordiks,"sport, eksportima, sort, ekstrakt, korts",B2
elama,"Üks vendadest on surnud, teised elavad","elatama, keelama, neelama, pelgama, seilama",A1
elamispind,Uuest töökohast eraldati talle elamispind uues kõrghoones,"elamistingimused, endamisi, kõlapind, teadmised, teistpidi",B2
elamu,Elamute vahetu ümbruse eest peavad hoolt kandma elanikud ise,"elamus, eramu, elu, enamus, kelmus",B1
elamus,Romaanist saadud vapustav elamus,"enamus, kelmus, elus, eramu, ladus",B2
elavdama,Suurenenud kaubavahetus on elavdanud tööd sadamates,"teravdama, laama, elavnema, eraldama, laduma",B2
elekter,Elektriga varustamine,"elektrik, lektor, meeter, leer, leke",A2
elektrooniline,Elektrooniline ajamõõtja,"krooniline, erootiline, irooniline, troopiline, etniline",B1
element,Aktiinium on erakordselt haruildane element,"elementaarne, elevant, pelmeen, teemant, seeme",B1
elementaarne,Väide põhineb elementaarsel statistikal,"legendaarne, parlamentaarne, elitaarne, mentaalne, keeleteadlane",B2
elevile,Uudis ajas kogu küla elevile,"leil, levi, vile, leevike, leviala",C1
elevus,Kõneleja tabav ütlus vallandas saalis lõbusa elevuse,"olevus, elus, heledus, seletus, tegevus",C1
eliit,Vaimne eliit,"liit, pliit, liialt, liiter, liitma",B2
elitaarne,"See kõigi jaoks ei olegi, see on siiski elitaarne kunst","regulaarne, solidaarne, taane, tarne, liitlane",B2
elu,Elu tekkimine maakeral,"elus, melu, elund, elutu, õelus",A1
eluaegne,Maa anti eluaegseks kasutamiseks,"eluase, enneaegne, kauaaegne, keskaegne, õigeaegne",B2
elujõuline,Maha pannakse ainult elujõulised ja terved kartulimugulad,"eluline, jõuline, elukutseline, tahtejõuline, oluline",B2
elukaaslane,Lesk leidis uue elukaaslase,"mõttekaaslane, lokaalne, kaasmaalane, töökaaslane, rahvuskaaslane",B1
eluliselt,Talupojad olid eluliselt huvitatud maaküsimuse lahendamisest,"oluliselt, selliselt, eriliselt, imeliselt, jõuliselt",B2
elund,Süda on pidevalt töötav elund,"sekund, elus, eratund, kulunud, laud",B2
ema,Püha ema 'abtiss',"tema, ma, emane, imema, keema",A1
emadepäev,Emadepäeva puhul teevad lapsed emale hommikul pannkooke,"esmaspäev, isadepäev, mardipäev, teabepäev, hingedepäev",B1
emotsioon,Kolme esimese eluaasta jooksul tekivad lapsel positiivsed ja negatiivsed emotsioonid,"evolutsioon, sektsioon, motivatsioon, resolutsioon, revolutsioon",B1
enam,Tal polnud enam jõudu vastu hakata,"enamik, enamus, kena, laenama, leinama",A2
enam-vähem,See tüdruk on enam-vähem nagu meie tütar,"vähem, vähemus, vähe, vähemalt, vähenema",B1
enamik,"Mõnede näod olid tuttavad, enamikku nägin esmakordselt","endamisi, ennatlik, enamus, keraamika, lemmik",B1
endamisi,"Endamisi rääkima, kõnelema, kordama, sosistama, kiruma, pahandama","ridamisi, sedasi, eraisik, lendama, sagedamini",B2
energeetiline,Riigi energeetiline sõltumatus,"energiline, geneetiline, teoreetiline, esteetiline, sünteetiline",B2
energia,Potentsiaalne energia,"sünergia, seeria, tuumaenergia, energiline, energiaallikas",A2
energiaallikas,Puhkus ja toit on inimese energiaallikad,"energiasäästlik, energiline, kaalikas, keraamika, eraklik",B2
enesekindlus,Hakkan enesekindlust kaotama,"meelekindlus, esindus, kindlus, eneseusk, mesindus",B1
eneseteadvus,Õnnestumised tõstavad eneseteadvust,"eneseteostus, teadvus, esietendus, eneseusk, eneseväljendus",B2
enesetunne,Haige enesetunne on muutunud paremaks,"sisetunne, enesetäiendamine, eneseusk, geneetiline, kohusetunne",B1
enne,"Ka temal läks aega, enne kui olukorrast midagi taipama hakkas","ennem, senine, vene, ennetus, identne",A1
enneaegne,Meie rõõm oli enneaegne,"ennetähtaegne, keskaegne, vanaaegne, vennapoeg, õigeaegne",B2
ennem,Ma annan kerjustele ennem süüa kui raha,"ennetama, senine, ennetus, erinema, esinema",B2
ennetama,Vaenlase rünnak ennetati,"ennustama, lennutama, tunnetama, kõnetama, minetama",B2
ennetähtaegne,Laenuintressi ennetähtaegne lõpetamine,"tähtaeg, tähistamine, tähtajaline, keskaegne, nähtavale",B2
ennustama,Uuele lavastusele ennustati suurt menu,"innustama, lennutama, tunnustama, nõustama, unustama",B1
episood,"Jutustan ühe episoodi, mis peaks juubilari eriti selgesti iseloomustama","pood, periood, teistmoodi, isemoodi, mismoodi",B2
erakordselt,Erakordselt tihedad juuksed,"esmakordselt, järjekordselt, mitmekordselt, teistkordselt, raudselt",B2
erakorraline,Erakorraline arstiabi on tasuta,"korraline, neljakorruseline, korralik, rahaline, varaline",B1
eraldama,Haiged eraldati tervetest,"eralduma, rahuldama, teravdama, haldama, valdama",B1
eraldi,"Tulge eraldi, siis mahute paremini tuppa sisse","eraldis, erand, ralli, eralduma, erandlik",A2
eralduma,Ta kõhnadel kätel eraldusid jämedad sooned,"rahulduma, kalduma, keelduma, eramaa, eriala",B2
eranditult,Eranditult kõik olid heas tujus,"teadlikult, erandlik, teaduslikult, seadistus, memorandum",B2
erapooletu,Kriitika oli erapooletu ja õiglane,"hooletu, poolest, pealtpoolt, sealtpoolt, tõepoolest",B1
erastama,Vanaema erastas oma korteri EVP-de eest,"eristama, reastama, karastama, kehastama, naeratama",B2
eratund,"Elatas end eratundidega, eratundidest","teatud, rand, raud, tund, veerand",B1
ergutama,Võistlusel ergutati üksteist hüüete ja naljatustega,"erutama, keerutama, kelgutama, kergitama, targutama",B2
eriala,Kutsekeskkoolis omandatakse eriala ja keskharidus,"erialane, eritama, leviala, seriaal, eristama",A2
erinema,Iga järgnev generatsioon erineb eelnevatest oma teadmiste ulatuse poolest,"esinema, riknema, pärinema, ringlema, seisnema",B1
erinev,Oskab kalatoite valmistada kümnel erineval viisil,"erinevus, verine, erinevalt, rinne, teine",A1
eriolukord,"Udu, jäide ja muu autojuhi tööd raskendavad eriolukorrad","olukord, kriisiolukord, seisukord, periood, hädaolukord",B2
eritama,Taimejuured eritavad mulda orgaanilisi happeid,"teritama, kergitama, tervitama, erutama, esitama",B2
ese,Klaasid ja muud õrnemad esemed pakiti hoolikalt,"esile, essee, keset, esmane, ise",B1
esialgu,Esialgu võiks asja otsustada nii,"esitlus, esile, festival, sisaldus, esindatus",B1
esietenduma,Möödunud laupäeval esietendus R,"esietendus, keskenduma, esindama, etendama, imenduma",B2
esikoht,Teatri repertuaaris püsib endiselt esikohal klassika,"sihtkoht, peidukoht, seisukoht, sünnikoht, koht",B1
esile,Peetri selja tagant kerkis esile veel mitu nägu,"sile, esitlema, mesilane, kesine, esimees",B1
esimees,Ühistu esimees,"esimene, peigmees, õemees, mees, sees",B1
esimene,Lõpetas töö esimeste hulgas,"esmane, kesine, sisene, seitsmene, esineja",A1
esindama,Esindab vabariiki võrkpallis,"sisendama, esinema, esitama, hindama, leinama",B1
esindus,Eesti Vabariigi alaline esindus Euroopa Liidu juures,"mesindus, sidus, esinduslik, üksindus, esitus",B1
esinema,Homme õhtul esineb kontserdisaalis keelpillikvartett,"esitlema, esivanem, seisnema, siginema, sisenema",A2
esinemine,Tunnistajana esinemine,"sisemine, sinine, vähenemine, esivanem, keskmine",B1
esitama,"Esitas oma tähelepanekud, mõtted, seisukoha, arvamuse, kavatsuse","esitlema, imestama, itsitama, kehitama, käsitama",B1
esiteks,"Vaatasin esiteks põllud üle, seejärel läksin järve äärde","esitus, seks, esitlus, näiteks, sitikas",B1
esitlus,Võõras seltskonnas on esitlus hädavajalik,"esitus, heitlus, vestlus, käsitlus, küsitlus",B2
esmaabi,Esmaabi põletuse korral,"lesbi, saati, metsmaasikas, pesumasin, siiamaani",B1
esmalt,"Esmalt peame toad ära koristama, siis alles saame lilled tuppa tuua","teisalt, osalt, pealt, salat, sealt",B1
esmatähtis,Mis on elukutsevalikul esmatähtis,"tähtis, osatähtsus, tähis, teatis, vanemahüvitis",B2
esteetiline,"Esteetilised normid, nõuded, tõekspidamised, väärtused","sünteetiline, geneetiline, teoreetiline, poeetiline, staatiline",B2
etapp,Võistlusrada on jagatud 20 km pikkusteks etappideks,"sestap, tappev, kapp, kepp, lapp",A2
etniline,Etniline rühm nt muistsed läänemeresoomlased,"tehniline, näiline, poeetiline, seltsiline, skeptiline",B2
ette,"Õmbleb, ajab pintsakule nööbid ette","kett, lett, omaette, etteaste, ettemaks",A1
etteheide,"Igast raamatukogu aknast kiirgas vaimsust, täis tagasihoidlikku etteheidet toredale poisile, kes sealt oli põgenenud","meeleheide, heide, ettenähtud, ettenägelik, ettevõte",B2
ettekandja,Valges põlles ettekandja tõi mulle klaasi piima,"ettekanne, tööandja, ettekääne, ettepanek, ettevõtja",A2
ettekujutus,Mul pole oma tulevasest tööst mingit ettekujutust,"kujutlus, etteütlus, üleujutus, ettevaatus, ettevõtlus",B1
ettepanek,"""Tulge täna minu juurde,"" tegi Mari ettepaneku","tähelepanek, ettepoole, terane, tõepärane, tähelepanelik",A2
ettevaatlikult,"Talitasin, toimisin, tegutsesin ettevaatlikult","ettevaatus, ettevõtlik, tahtlikult, teadlikult, ettevõtlikkus",B1
ettevalmistus,Gümnaasium andis mulle ladina keeles küllaldase ettevalmistuse,"talitus, ettevõtlus, turvalisus, valmistuma, ettevõtlikkus",B1
ettevõte,"Meeletu, riskantne ettevõte","ettevõtmine, ettevõtja, ettevõtlik, ettevõtlus, ettevõtlikkus",A2
ettevõtja,Üksikisikust ettevõtja,"ettevõtlik, ettevõtlus, ettevõtmine, keevitaja, veemõõtja",B1
ettevõtlus,"Läänemeri on Põhjamaade, Balti riikide ja Loode-Venemaa ühendajaks, aga ka eraldajaks kultuuris ja ettevõtluses","etteütlus, võitlus, mitmevõistlus, ettevõtmine, menetlus",B2
eurooplane,Eurooplased taluvad troopikakliimat halvasti,"rootslane, soolane, troopiline, utoopiline, herilane",B1
evakueerima,Naised ja lapsed evakueeriti maale,"spekuleerima, maskeerima, okupeerima, reageerima, serveerima",B2
faas,Kuu faasid,"fraas, gaas, kaas, maas, taas",B2
faktiline,Samasooliste isikute püsiv faktiline kooselu kuulub perekonnaelu kaitsealasse,"praktiline, pakiline, taktikaline, fiktiivne, fantastiline",B2
fantaseerima,"Fantaseerib, mida ta teeks, kui võidaks loteriil","noteerima, raseerima, garanteerima, funktsioneerima, fikseerima",B2
farm,Hiigelperekonnas on 20 last ja kõik nad elavad rõõmsalt ja tülideta koos ühes uures Utah' osariigis asuvas farmis,"karm, parm, firma, parem, varem",B1
fassaad,Tema toretseva fassaadi taga pesitses tühisus,"massaaž, kakssada, kassa, saade, otsesaade",B2
festival,Ülemaailmne noorsoo ja üliõpilaste festival,"testima, iseseisvalt, püsivalt, tekstiil, stiil",A2
figureerima,Edetabelis figureerib kolm meie sportlast,"ignoreerima, integreerima, fikseerima, illustreerima, genereerima",B2
figuur,Tal oli väga lopsakas figuur,"vigur, hiigelsuur, ülisuur, juur, suur",B2
fikseerima,Firma juhtkond fikseeris töötajate kohustused käskkirjaga,"isoleerima, konfiskeerima, kerima, ratifitseerima, seeria",B2
filiaal,"Kaupluse, vabriku, panga, söökla, muuseumi, uurimisinstituudi filiaal","finaal, filmima, liberaal, lihapall, silitama",B2
film,"Filmi ilmutama, kinnistama, kopeerima","ilm, ilma, ilme, filmima, firma",A1
filmima,Armastab filmida lapsi ja loodust,"ilmuma, ilma, hiilima, ilmnema, lahmima",B1
filoloog,"Germaani, slaavi filoloog","filoloogia, filosoof, pilliroog, filosoofia, geoloog",B2
filosoof,Filosoofidest hindas ta eriti Hegelit,"filosoofia, filosoofiline, illusioon, piloot, soo",B2
filosoofiline,Luule filosoofiline alltekst,"füsioloogiline, loogiline, sooline, irooniline, ideoloogiline",B2
filter,Filtrit läbides puhastub õhk tolmust ja suitsust,"lahter, latern, liiter, litter, luteri",B2
finaal,Finaalis kohtuvad Ungari ja Poola meeskonnad,"signaal, najal, pinal, finalist, mineraal",B1
finalist,Lauatennises on finalistid juba selgunud,"inglise, list, nali, realist, usinalt",B2
flööt,Esitas flöödil keerulisi improvisatsioone,"föön, löök, plokkflööt, lörts, lööma",B1
folkloor,"Eesti, vene, germaani, slaavi folkloor","olukord, klooster, oktoober, kalor, kohvikoor",B2
formaalselt,Nad suhtlesid üksnes formaalselt,"moraalselt, reaalselt, formaat, omaselt, formaalsus",B2
formuleerima,"Oskab hinnanguid tabavalt, selgelt ja täpselt formuleerida","informeerima, reguleerima, stimuleerima, isoleerima, okupeerima",B2
frikadell,Sõime frikadelli suppi,"kurikael, kade, kael, kell, rike",B1
fuajee,Vaheajal valgus rahvas saalist fuajeesse,"majonees, kupee, mulje, palee, talje",B2
füsioloogiline,Uni on inimese üks füsioloogilistest vajadustest,"sotsioloogiline, ideoloogiline, loogiline, geoloogiline, teoloogiline",B2
füüsika,Füüsika juures meeldib mulle tema tehniline rakenduslikkus,"füüsikaline, müstika, küüsi, psüühika, üksik",B1
